,Half-Time (us),Uptime (us),ADC Reading
0,50,0,553
1,50,19,556
2,50,37,552
3,50,56,553
4,50,75,556
5,50,94,556
6,50,112,556
7,50,131,556
8,50,149,552
9,50,168,556
10,50,186,556
11,50,205,552
12,50,223,556
13,50,242,552
14,50,260,552
15,50,279,556
16,50,297,556
17,50,316,556
18,50,334,556
19,50,352,552
20,50,371,552
21,50,389,556
22,50,408,556
23,50,426,552
24,50,445,552
25,50,463,552
26,50,482,556
27,50,500,556
28,50,519,556
29,50,537,556
30,50,556,552
31,50,574,552
32,50,593,556
33,50,611,556
34,50,630,552
35,50,648,552
36,50,667,552
37,50,685,556
38,50,704,556
39,50,722,556
40,50,740,552
41,50,759,556
42,50,777,552
43,50,796,556
44,50,814,556
45,50,833,552
46,50,851,552
47,50,870,556
48,50,888,556
49,50,907,556
50,50,925,556
51,50,944,552
52,50,962,552
53,50,981,552
54,50,999,556
55,50,1018,556
56,50,1036,552
57,50,1055,552
58,50,1074,552
59,50,1093,556
60,50,1111,552
61,50,1130,556
62,50,1148,552
63,50,1167,556
64,50,1185,556
65,50,1203,556
66,50,1222,556
67,50,1240,552
68,50,1259,552
69,50,1277,556
70,50,1296,556
71,50,1314,556
72,50,1333,556
73,50,1351,552
74,50,1370,556
75,50,1388,556
76,50,1407,556
77,50,1425,556
78,50,1444,552
79,50,1462,556
80,50,1481,556
81,50,1499,556
82,50,1518,556
83,50,1536,552
84,50,1555,552
85,50,1573,556
86,50,1591,556
0,75,0,556
1,75,19,552
2,75,37,556
3,75,56,556
4,75,74,556
5,75,93,556
6,75,111,552
7,75,130,556
8,75,148,552
9,75,167,556
10,75,185,556
11,75,204,556
12,75,222,556
13,75,240,556
14,75,259,552
15,75,277,556
16,75,296,553
17,75,314,552
18,75,333,556
19,75,351,556
20,75,370,556
21,75,388,556
22,75,407,556
23,75,425,552
24,75,444,552
25,75,462,552
26,75,481,556
27,75,499,556
28,75,518,556
29,75,536,556
30,75,555,552
31,75,573,552
32,75,592,552
33,75,610,552
34,75,628,552
35,75,647,556
36,75,665,556
37,75,684,556
38,75,702,552
39,75,721,552
40,75,739,553
41,75,758,552
42,75,776,556
43,75,795,556
44,75,813,556
45,75,832,556
46,75,850,556
47,75,869,552
48,75,887,556
49,75,906,552
50,75,925,556
51,75,944,556
52,75,962,552
53,75,981,556
54,75,999,552
55,75,1018,552
56,75,1036,552
57,75,1055,552
58,75,1073,556
59,75,1092,556
60,75,1110,556
61,75,1128,556
62,75,1147,556
63,75,1165,552
64,75,1184,556
65,75,1202,552
66,75,1221,556
67,75,1239,556
68,75,1258,552
69,75,1276,556
70,75,1295,556
71,75,1313,552
72,75,1332,552
73,75,1350,556
74,75,1369,552
75,75,1387,556
76,75,1406,556
77,75,1424,556
78,75,1443,552
79,75,1461,552
80,75,1480,552
81,75,1498,552
82,75,1516,553
83,75,1535,556
84,75,1553,556
85,75,1572,556
86,75,1590,556
0,100,0,556
1,100,18,556
2,100,37,556
3,100,55,552
4,100,74,552
5,100,92,552
6,100,111,552
7,100,129,556
8,100,148,556
9,100,166,556
10,100,185,556
11,100,203,552
12,100,222,556
13,100,240,556
14,100,260,552
15,100,278,552
16,100,297,552
17,100,315,556
18,100,334,552
19,100,352,556
20,100,371,556
21,100,389,556
22,100,407,552
23,100,426,556
24,100,444,552
25,100,463,552
26,100,481,556
27,100,500,552
28,100,518,552
29,100,537,556
30,100,555,552
31,100,574,556
32,100,592,556
33,100,611,552
34,100,629,556
35,100,648,552
36,100,666,552
37,100,685,552
38,100,703,556
39,100,722,552
40,100,740,556
41,100,759,552
42,100,777,556
43,100,795,556
44,100,814,556
45,100,832,556
46,100,851,552
47,100,869,556
48,100,888,552
49,100,906,556
50,100,925,552
51,100,943,556
52,100,962,556
53,100,980,556
54,100,999,556
55,100,1017,556
56,100,1036,556
57,100,1054,552
58,100,1073,556
59,100,1091,552
60,100,1110,556
61,100,1128,556
62,100,1147,556
63,100,1165,556
64,100,1183,556
65,100,1202,556
66,100,1220,556
67,100,1239,556
68,100,1258,552
69,100,1277,552
70,100,1295,552
71,100,1314,556
72,100,1332,552
73,100,1351,556
74,100,1369,556
75,100,1388,556
76,100,1406,556
77,100,1425,556
78,100,1443,556
79,100,1462,552
80,100,1480,552
81,100,1499,552
82,100,1517,552
83,100,1536,552
84,100,1554,556
85,100,1573,556
86,100,1591,556
0,200,0,556
1,200,19,556
2,200,37,556
3,200,56,556
4,200,74,552
5,200,92,552
6,200,111,556
7,200,129,552
8,200,148,552
9,200,166,552
10,200,185,552
11,200,203,552
12,200,222,552
13,200,240,560
14,200,259,552
15,200,277,552
16,200,296,556
17,200,314,556
18,200,333,556
19,200,351,556
20,200,370,556
21,200,388,556
22,200,407,556
23,200,425,556
24,200,443,556
25,200,462,556
26,200,480,552
27,200,499,556
28,200,517,552
29,200,536,552
30,200,554,556
31,200,573,552
32,200,591,552
33,200,610,552
34,200,628,552
35,200,647,552
36,200,665,556
37,200,684,556
38,200,702,556
39,200,721,556
40,200,739,556
41,200,758,556
42,200,776,556
43,200,795,556
44,200,813,556
45,200,831,556
46,200,850,556
47,200,868,556
48,200,887,552
49,200,905,552
50,200,924,556
51,200,942,552
52,200,961,552
53,200,979,556
54,200,998,552
55,200,1016,552
56,200,1035,556
57,200,1053,552
58,200,1072,556
59,200,1090,556
60,200,1109,556
