,Half-Time (us),Uptime (us),ADC Reading
0,50,0,551
1,50,19,551
2,50,37,560
3,50,56,563
4,50,74,560
5,50,93,551
6,50,111,551
7,50,130,556
8,50,148,561
9,50,166,560
10,50,185,556
11,50,203,551
12,50,222,551
13,50,240,560
14,50,259,561
15,50,277,560
16,50,296,551
17,50,314,551
18,50,333,556
19,50,351,561
20,50,370,560
21,50,388,556
22,50,407,551
23,50,425,551
24,50,444,560
25,50,462,561
26,50,481,560
27,50,499,551
28,50,518,551
29,50,536,558
30,50,554,560
31,50,573,560
32,50,591,552
33,50,610,551
34,50,628,551
35,50,647,560
36,50,665,560
37,50,684,559
38,50,702,547
39,50,721,551
40,50,739,560
41,50,758,561
42,50,776,560
43,50,795,551
44,50,813,551
45,50,832,556
46,50,850,561
47,50,869,560
48,50,887,556
49,50,906,551
50,50,924,551
51,50,942,560
52,50,961,561
53,50,979,560
54,50,998,551
55,50,1016,551
56,50,1035,559
57,50,1053,560
58,50,1072,560
59,50,1090,556
60,50,1109,551
61,50,1127,551
62,50,1146,560
63,50,1164,561
64,50,1183,559
65,50,1201,547
66,50,1220,551
67,50,1238,560
68,50,1257,563
69,50,1275,560
70,50,1294,551
71,50,1312,551
72,50,1330,552
73,50,1349,561
74,50,1367,560
75,50,1386,556
76,50,1404,551
77,50,1423,551
78,50,1441,560
79,50,1460,563
80,50,1479,559
81,50,1498,551
82,50,1516,551
83,50,1535,558
84,50,1553,560
85,50,1572,560
86,50,1590,556
0,75,0,556
1,75,18,560
2,75,37,560
3,75,55,560
4,75,74,560
5,75,92,551
6,75,111,551
7,75,129,551
8,75,147,552
9,75,166,560
10,75,184,560
11,75,203,560
12,75,221,560
13,75,240,551
14,75,259,551
15,75,277,551
16,75,296,552
17,75,314,560
18,75,333,560
19,75,351,560
20,75,370,560
21,75,388,552
22,75,407,551
23,75,425,551
24,75,443,551
25,75,462,560
26,75,480,561
27,75,499,560
28,75,517,560
29,75,536,552
30,75,554,551
31,75,573,551
32,75,591,551
33,75,610,560
34,75,628,561
35,75,647,560
36,75,665,560
37,75,684,556
38,75,702,551
39,75,721,551
40,75,739,551
41,75,758,560
42,75,776,563
43,75,795,560
44,75,813,560
45,75,831,556
46,75,850,551
47,75,868,551
48,75,887,551
49,75,905,559
50,75,924,560
51,75,942,560
52,75,961,560
53,75,979,556
54,75,998,551
55,75,1016,551
56,75,1035,552
57,75,1053,559
58,75,1072,560
59,75,1090,560
60,75,1109,560
61,75,1127,559
62,75,1146,551
63,75,1164,551
64,75,1183,552
65,75,1201,558
66,75,1219,560
67,75,1238,560
68,75,1257,560
69,75,1276,559
70,75,1294,551
71,75,1313,551
72,75,1331,552
73,75,1350,556
74,75,1368,560
75,75,1387,560
76,75,1405,560
77,75,1424,560
78,75,1442,551
79,75,1461,551
80,75,1479,551
81,75,1498,556
82,75,1516,560
83,75,1535,560
84,75,1553,560
85,75,1572,560
86,75,1590,551
0,100,0,551
1,100,18,551
2,100,37,552
3,100,55,556
4,100,74,552
5,100,92,560
6,100,111,560
7,100,129,560
8,100,148,560
9,100,166,560
10,100,185,558
11,100,203,547
12,100,222,551
13,100,240,552
14,100,258,552
15,100,277,556
16,100,295,560
17,100,314,560
18,100,332,560
19,100,351,560
20,100,369,560
21,100,388,556
