,Half-Time (us),Uptime (us),ADC Reading
0,50,0,567
1,50,19,616
2,50,37,608
3,50,56,575
4,50,74,531
5,50,93,543
6,50,111,591
7,50,130,623
8,50,148,595
9,50,167,543
10,50,185,535
11,50,204,568
12,50,222,623
13,50,241,608
14,50,259,563
15,50,278,528
16,50,296,551
17,50,315,606
18,50,333,616
19,50,352,591
20,50,370,536
21,50,388,540
22,50,407,583
23,50,425,623
24,50,444,604
25,50,462,552
26,50,481,531
27,50,499,559
28,50,518,611
29,50,536,615
30,50,555,575
31,50,573,528
32,50,592,544
33,50,610,593
34,50,629,624
35,50,647,599
36,50,666,543
37,50,684,535
38,50,703,572
39,50,721,623
40,50,740,608
41,50,758,560
42,50,776,528
43,50,795,556
44,50,815,608
45,50,833,615
46,50,851,583
47,50,870,531
48,50,888,543
49,50,907,577
50,50,925,622
51,50,944,604
52,50,962,556
53,50,981,529
54,50,999,558
55,50,1018,609
56,50,1036,615
57,50,1055,576
58,50,1073,529
59,50,1092,543
60,50,1110,591
61,50,1129,622
62,50,1147,600
63,50,1166,544
64,50,1184,536
65,50,1203,568
66,50,1221,620
67,50,1239,609
68,50,1258,568
69,50,1276,528
70,50,1295,551
71,50,1313,600
72,50,1332,622
73,50,1350,591
74,50,1369,536
75,50,1387,540
76,50,1406,579
77,50,1424,623
78,50,1443,604
79,50,1461,556
80,50,1480,529
81,50,1498,558
82,50,1517,609
83,50,1535,615
84,50,1554,576
85,50,1572,531
86,50,1591,543
0,75,0,559
1,75,19,556
2,75,37,595
3,75,56,620
4,75,74,599
5,75,93,591
6,75,111,556
7,75,130,536
8,75,148,556
9,75,167,560
10,75,185,592
11,75,204,620
12,75,222,600
13,75,241,591
14,75,259,560
15,75,278,535
16,75,296,551
17,75,315,559
18,75,333,588
19,75,352,620
20,75,370,600
21,75,388,591
22,75,407,563
23,75,425,531
24,75,444,547
25,75,462,560
26,75,481,583
27,75,499,616
28,75,518,604
29,75,536,591
30,75,555,568
31,75,573,536
32,75,592,547
33,75,610,560
34,75,630,579
35,75,648,620
36,75,667,604
37,75,685,591
38,75,704,572
39,75,722,536
40,75,741,547
41,75,759,560
42,75,778,575
43,75,796,615
44,75,815,606
45,75,833,591
46,75,851,575
47,75,870,536
48,75,888,543
49,75,907,560
50,75,925,572
51,75,944,615
52,75,962,608
53,75,981,591
54,75,999,579
55,75,1018,536
56,75,1036,543
57,75,1055,560
58,75,1073,560
59,75,1092,608
60,75,1110,615
61,75,1129,591
62,75,1147,590
63,75,1166,544
64,75,1184,540
65,75,1203,559
66,75,1221,559
67,75,1239,604
68,75,1258,615
69,75,1276,593
70,75,1295,591
71,75,1313,547
72,75,1332,536
73,75,1350,558
74,75,1369,559
75,75,1387,600
76,75,1406,616
77,75,1424,599
78,75,1443,591
79,75,1461,552
80,75,1480,536
81,75,1498,556
82,75,1517,559
83,75,1535,591
84,75,1554,615
85,75,1572,600
86,75,1591,591
0,100,0,591
1,100,19,600
2,100,37,576
3,100,56,531
4,100,74,543
5,100,93,560
6,100,111,556
7,100,130,552
8,100,148,608
9,100,167,620
10,100,185,592
11,100,204,592
12,100,222,604
13,100,241,568
14,100,259,528
15,100,278,551
16,100,296,560
17,100,314,551
18,100,333,556
19,100,351,609
20,100,370,615
21,100,388,591
22,100,407,591
23,100,425,600
24,100,444,561
25,100,462,529
26,100,481,551
27,100,499,560
28,100,518,551
29,100,536,563
30,100,555,615
31,100,573,608
32,100,592,591
33,100,610,593
34,100,629,600
35,100,647,556
36,100,666,529
37,100,684,556
38,100,702,560
39,100,721,551
40,100,739,583
41,100,759,624
42,100,777,604
43,100,796,591
44,100,814,600
45,100,833,595
46,100,851,543
47,100,870,535
48,100,888,560
49,100,907,559
50,100,925,547
51,100,944,588
52,100,962,624
53,100,981,600
54,100,999,591
55,100,1018,600
56,100,1036,588
57,100,1055,536
58,100,1073,542
59,100,1092,560
60,100,1110,556
61,100,1128,551
62,100,1147,600
63,100,1165,622
64,100,1184,595
65,100,1202,591
66,100,1221,600
67,100,1239,575
68,100,1258,529
69,100,1276,544
70,100,1295,560
71,100,1313,551
72,100,1332,552
73,100,1350,608
74,100,1369,620
75,100,1387,591
76,100,1406,591
77,100,1424,600
78,100,1443,567
79,100,1461,527
80,100,1480,551
81,100,1498,560
82,100,1516,551
83,100,1535,563
84,100,1553,615
85,100,1572,609
86,100,1590,591
0,200,0,600
1,200,19,600
2,200,37,572
3,200,56,531
4,200,74,545
5,200,93,560
6,200,111,551
7,200,130,547
8,200,148,551
9,200,167,552
10,200,185,552
11,200,204,552
12,200,222,551
13,200,241,577
14,200,259,622
15,200,277,607
16,200,296,591
17,200,314,600
18,200,333,604
19,200,351,600
20,200,370,599
21,200,389,599
22,200,407,599
23,200,426,595
24,200,444,547
25,200,463,535
26,200,481,558
27,200,499,558
28,200,518,547
29,200,536,551
30,200,555,552
31,200,573,552
32,200,592,552
33,200,610,551
34,200,629,552
35,200,647,604
36,200,666,620
37,200,684,595
38,200,703,591
39,200,721,600
40,200,740,600
41,200,758,599
42,200,777,595
43,200,795,595
44,200,814,600
45,200,832,579
46,200,851,535
47,200,869,543
48,200,887,560
49,200,906,556
50,200,924,551
51,200,943,551
52,200,961,551
53,200,980,551
54,200,998,551
55,200,1017,551
56,200,1035,568
57,200,1054,616
58,200,1072,609
59,200,1091,591
60,200,1109,595
61,200,1128,600
62,200,1146,600
63,200,1165,599
64,200,1183,595
65,200,1202,599
66,200,1220,600
67,200,1239,560
68,200,1257,531
69,200,1275,551
70,200,1294,560
71,200,1312,551
72,200,1331,551
73,200,1349,551
74,200,1368,551
75,200,1386,551
76,200,1405,551
77,200,1423,551
78,200,1442,579
79,200,1460,620
80,200,1479,607
81,200,1497,591
82,200,1516,599
83,200,1534,600
84,200,1553,600
85,200,1571,600
86,200,1590,600
0,400,0,600
1,400,19,599
2,400,37,595
3,400,56,595
4,400,74,599
5,400,93,599
6,400,111,595
7,400,130,592
8,400,148,543
9,400,167,536
10,400,185,560
11,400,203,559
12,400,222,547
13,400,240,551
14,400,259,552
15,400,277,552
16,400,296,551
17,400,314,551
18,400,333,551
19,400,351,551
20,400,370,551
21,400,388,551
22,400,407,551
23,400,425,551
24,400,444,551
25,400,462,551
26,400,481,551
27,400,499,551
28,400,518,551
29,400,536,551
30,400,555,568
31,400,573,620
32,400,591,611
33,400,610,591
34,400,628,595
35,400,647,604
36,400,665,600
37,400,684,599
38,400,702,595
39,400,721,599
40,400,739,599
41,400,758,599
42,400,776,599
43,400,795,599
44,400,813,599
45,400,832,599
46,400,850,599
47,400,869,595
48,400,887,599
49,400,906,595
50,400,924,599
51,400,943,556
52,400,961,531
53,400,979,552
54,400,998,560
55,400,1016,551
56,400,1035,547
57,400,1054,551
58,400,1073,559
59,400,1091,551
60,400,1110,551
61,400,1128,551
62,400,1147,551
63,400,1165,551
64,400,1184,551
65,400,1202,551
66,400,1221,551
67,400,1239,551
68,400,1258,551
69,400,1276,551
70,400,1295,551
71,400,1313,551
72,400,1332,551
73,400,1350,558
74,400,1369,607
75,400,1387,616
76,400,1405,595
77,400,1424,592
78,400,1442,604
79,400,1461,600
80,400,1479,599
81,400,1498,595
82,400,1516,600
83,400,1535,600
84,400,1553,600
85,400,1572,600
86,400,1590,600
